incarnation_lineages_id (PK),BDRC R ID,TOL R ID,Incarnation Name,Tradition 1,Tradition ID 1,Tradition 2,Tradition ID 2,Wylie,Tibetan,Chinese,BDRC G ID,TOL G ID,description
105,R8LS13294,105,Dzongnang,Nyingma,1,,,rdzong nang bla ma,རྫོང་ནང་རྗེ་དབོན།,,G18,TOLG14,"<p>
	The Dzongnang Lama has its seat at <a href=""/geographies/view/Pelyul/TBRC_G18"">Pelyul</a> in Kham. The First Dzongnang Lama was also known as the <a href=""/biographies/view/Pelyul-Choktrul/TBRC_R8LS13294"">Pelyul Choktrul</a>, a title that subsequent incarnations also held.&nbsp;</p>
"
106,R8LS13046,106,Tsechok Ling,Geluk,27,,,tshe mchog gling ,ཚེ་མཆོག་གླིང་།,,G157,TOLG871,"<p>
	The Tsechok Ling line is based at <a href=""/geographies/view/Drib-Tsechok-Ling/TBRC_G157"">Drib Tsechok Ling</a> outside of Lhasa. It was founded by <a href=""/biographies/view/Yeshe-Gyelsten/TBRC_P105"">Yeshe Gyelsten</a>, who is considered the First Tsechok Ling. He was tutor to the <a href=""/biographies/view/Eighth-Dalai-Lama/TBRC_P109"">Eighth Dalai Lama</a>.</p>
"
107,R8LS12801,107,Pelbar,Geluk,27,Sakya,7,dpal 'bar sprul sku,དཔལ་འབར་སྤྲུལ་སྐུ།,,G73,TOLG814,"<p>
	The Pelbar Tulku has its seat at <a href=""/geographies/view/Pelbar/TBRC_G73"">Pelbar</a>, a Geluk monastery in Kham that was initially founded as a Sakya institution.&nbsp;</p>
"
108,R8LS13334,108,Chepa Gyakhar,Geluk,27,,,chas pa rgya mkhar,ཆས་པ་རྒྱ་མཁར།,,G4851,TOLG409,"<p>
	The Chepa Gyakgar lineage has its seat at <a href=""/geographies/view/Gyakhar-Monastery/TBRC_G4851"">Gyakhar Monastery</a> in Amdo.&nbsp;</p>
"
109,,109,Lelung Jedrung,Geluk,27,,,sle lung rje drung,སླེ་ལུང་རྗེ་དྲུང་།,,G180,TOLG237,"<p>
	The Lelung Jedrung incarnations appear to have begun in the sixteenth century with the recognition of <a href=""/biographies/view/Tenpa-Gyatso/TBRC_P5465"">Tenpa Gyatso</a> as the reincarnation of <a href=""/biographies/view/Gendun-Tashi/TBRC_p2311"">Gendun Tashi</a>, the eighth abbot of <a href=""/geographies/view/Chamdo-Jampa-Ling/TBRC_g180"">Chamdo Jampa Ling</a>. Tenpa Gyatso was declared the Third Lelung Jedrung, the first being <a href=""/biographies/view/Grubchen-Lekyi-Dorje/TBRC_P1317"">Drubchen Lekyi Dorje</a>. The incarnation line is based at <a href=""/geographies/view/Lelung-Monastery/TBRC_G184"">Lelung Monastery</a>, and is also known as the Wolga Jedrung.</p>
"
111,,111,Dilgo Khyentse,Nyingma,1,,,dil mgo mkhyen brtse,དིལ་མགོ་མཁྱེན་བརྩེ།,,G20,TOLG13,"<p>
	Dilgo Khyentse was one of five recognized reincarnations of <a href=""/biographies/view/Jamyang-Khyentse-Wangpo/TBRC_p258"">Jamyang Khyentse Wangpo</a>. His reincarnation, known as Dilgo Yangse Rinpoche, was born in 1993, the son of Tsikey Choling Rinpoche.</p>
"
113,,113,Pelme Khyentse,Drigung Kagyu,42,,,dpal me mkhyen brtse,དཔལ་མེ་མཁྱེན་བརྩེ།,,G2601,TOLG247,"<p>
	The Pelme Khyentse incarnation line, based at <a href=""/geographies/view/Pelme-Monastery/TBRC_G2601"">Pelme Monastery</a>, was initiated with <a href=""/biographies/view/Kunzang-Drodul/TBRC_P6897"">Kunzang Drodul</a>, who was identified as a reincarnation of <a href=""/biographies/view/Jamyang-Khyentse-Wangpo/TBRC_P258"">Jamyang Khyentse Wangpo</a>.</p>
"
114,,114,Pakchok Khyentse,Nyingma,1,,,phags mchog mkhyen brtse,ཕགས་མཆོག་མཁྱེན་བརྩེ།,,,,"<p>
	The Pakchok Khyentse line initiated with the identification of <a href=""/biographies/view/Pakchok-Dorje/TBRC_P717"">Pakchok Dorje</a>, a son of <a href=""/biographies/view/Śākya-Śrī/TBRC_P620"">Śākya Śrī</a>, as a reincarnation of <a href=""/biographies/view/Jamyang-Khyentse-Wangpo/TBRC_P258"">Jamyang Khyentse Wangpo</a>.</p>
"
115,,115,Gonchen Khyentse,Sakya,7,,,dgon chen mkhyen brtse,དགོན་ཆེན་མཁྱེན་བརྩེ།,,G193,TOL207,"<p>
	The Gonchen Khyentse line, for want of a better name, is the incarnation line that began when <a href=""/biographies/view/Jamyang-Khyentse-Chokyi-Wangpo/TBRC_P8LS76438"">Jamyang Khyentse Chokyi Wangpo</a> was identified as a reincarnation of <a href=""/biographies/view/Jamyang-Khyentse-Wangpo/TBRC_P258"">Jamyang Khyentse Wangpo</a> and installed at <a href=""/geographies/view/Dzongsar-Monastery/TBRC_G213"">Dzongsar Monastery</a>. When he died young he was replaced at Dzongsar by <a href=""https://treasuryoflives.org/biographies/view/Jamyang-Khyentse-Chokyi-Lodro/TBRC_P733"">Jamyang Khyentse Chokyi Lodro</a>, who had been based at Katok, and his reincarnation, <a href=""/biographies/view/Jamyang-Chokyi-Wangchuk/TBRC_P8LS76435"">Jamyang Chokyi Wangchuk</a> was moved to <a href=""/geographies/view/Gonchen/TBRC_G193"">Gonchen</a>. He was the uncle and teacher of <a href=""https://treasuryoflives.org/biographies/view/Namkhai-Norbu/TBRC_P6672"">Namkhai Norbu</a>.</p>
"
116,,116,Khordong,Nyingma,1,,,khor gdong,འཁོར་གདོང་།,,G3842,TOLG1316,"<p>
	The Khordong Tertrul incarnation line began with <a href=""/biographies/view/Khordong-Terchen-Nuden-Dorje/TBRC_P1KG9679"">Khordong Terchen Nuden Dorje</a>. The Third Khordong Tertrul was the famous twentieth-century Nyingma master <a href=""/biographies/view/Chime-Rigdzin/TBRC_P1KG9680"">Chime Rigdzin</a>, popularly known as C.R. Lama.&nbsp;</p>
"
117,P8LS12765,117,Dungkar,Geluk,27,,,dung dkar,དུང་དཀར།,,,,"<p>
	The Dungkar incarnation lineage was initially associated with&nbsp;<a href=""https://treasuryoflives.org/geographies/view/Rika-Ganden-Shedrub-Dargye-Ling/TBRC_G3481"">Rika Ganden Shedrub Dargye Ling</a>, where&nbsp;<a href=""/biographies/view/Tsangyang-Drukdrak/TBRC_P8LS12767"">Tsangyang Drukdrak</a>, the Third Dungkar, served as Abbot. It later became associated with&nbsp;<a href=""/geographies/view/Tashi-Choling/TBRC_G4321"">Tashi Choling</a>&nbsp;in Kongpo.&nbsp;<a href=""/biographies/view/Dungkar-Lobzang-Trinle/TBRC_P1161"">Dungkar Lobzang Trinle</a>, eminent scholar of Tibetan language, was recognized as the eighth in the lineage.&nbsp;</p>
"
118,,118,Ganden Tongkhor,Geluk,27,,,a mdo stong 'khor,ཨ་མདོ་སྟོང་འཁོར།,,G239,TOL440,"<p> The Tongkhor line of incarnations began in the sixteenth century when, following the death of <a href=""/biographies/view/Dawa-Gyeltsen/TBRC_P2048"">Dawa Gyeltsen</a> in 1556, <a href=""/biographies/view/Yonten-Gyatso/TBRC_P2043"">Yonten Gyatso</a> was recognized as his reincarnation, named the Second Tongkhor, and installed at <a href=""/geographies/view/Tongkhor-Tashilhunpo/TBRC_G1542"">Tongkhor Tashilhunpo</a> in Kham.&nbsp;After the death of the Third Tongkhor, <a href=""/biographies/view/Gyelwa-Gyatso/TBRC_P1004"">Gyelwa Gyatso</a>, the line had two seats, Tashilhunpo in Kham and the other at <a href=""/geographies/view/Ganden-Chokhor-Ling/TBRC_G239"">Ganden Chokhor Ling</a> in Tongkhor county near Lake Kokonor .Following the death of the Fifth Tongkhor, <a href=""/biographies/view/Ngawang-Sonam-Gyatso/TBRC_P1468"">Ngawang Sonam Gyatso</a>, both communities put forward their own reincarnations. There were thus two Sixth Tongkhor lamas: <a href=""/geographies/view/Ngawang-Jamyang-Tendzin-Gyatso/TBRC_P1813"">Ngawang Jamyang Tendzin Gyatso</a> and <a href=""/biographies/view/Jampel-Gendun-Gyatso/TBRC_P1KG4775"">Jampel Gendun Gyatso</a>. The lines conitnued separately thereafter.</p>"
119,R8LS13092,119,Zimwok,Sakya,7,,,gzims 'og,གཟིམས་འོག།,,G233,TOL128,"<p> The Zimwok Tulku line began with <a href=""/biographies/view/Zhabdrung-Ngawang-Norbu/TBRC_P8452"">Zhabdrung Ngawang Norbu</a>,&nbsp;who was identified as the reincarnation of both <a href=""/biographies/view/Rongton-Sheja-Kunrik/TBRC_P431"">Rongton Sheja Kunrik</a>&nbsp;and his close disciple <a href=""/biographies/view/Dakpo-Tashi-Namgyel-/TBRC_P5091"">Dakpo Tashi Namgyel</a>, the two founders of <a href=""/geographies/view/Nalendra-Monastery/TBRC_G233"">Nalendra Monastery</a>. Tashi Namgyel had built a residence below Rongton&#39;s which became known as &quot;Zimwok,&quot; meaning &quot;below the residence,&quot; and this title was given to the first joint incarnation of the two masters. Zhabdrung Ngawang Norbu was a nephew and disciple of <a href=""/biographies/view/Jampa-Ngawang-Lhundrub/TBRC_P3511"">Jampa Ngawang Lhundrub</a>&nbsp;of the <a href=""/communities/view/Kuzhang-family/TBRC_TOL1626"">Kuzhang family</a>&nbsp;who were major patrons of Nalendra and <a href=""/geographies/view/Ngor-Ewaṃ-Choden/TBRC_G211"">Ngor Ewaṃ Choden</a>.</p>"
120,R8LS13205,120,Jebtsundampa,Geluk,27,Jonang,278,khal kha rje btsun dam pa'i skye brgyud,ཁལ་ཁ་རྗེ་བཙུན་དམ་པའི་སྐྱེ་བརྒྱུད།,,G507,TOL1280,"<p> The Jebstundampa incarnation lineage is regarded as the head of Buddhism in Mongolia. The lineage is currently affiliated with both Jonang and Geluk traditions. The First Jebtsundampa, <a href=""/biographies/view/Zanabazar/TBRC_P5779"">Zanabazar</a>, was identified as the reincarnation of&nbsp;<a href=""/biographies/view/Jetsun-Tāranātha/TBRC_P1428"">Jetsun Tāranātha</a>&nbsp;(tA ra nA tha, 1575&ndash;1634). The list of prior incarnations is as follows: 1) Indian Paṇḍita Barbey Tsobo (&#39;bar ba&#39;i gtso bo), 2) Mahāsiddha Kṛṣṇācārya, 3) Indian tantric master Rātna Bhahula, 4) <a href=""/biographies/view/Rongzom-Chokyi-Zangpo/TBRC_P3816"">Rongzom Chokyi Zangpo</a> (rong zom chos kyi bzang po mid 11th cen&ndash;early 12th cen.), 5) <a href=""/biographies/view/Barompa-Darma-Wangchuk/TBRC_P1856"">Barompa Darma Wangchuk</a> (&#39;ba rom pa dar ma dbang phyug 1127&ndash;1194), 6) Avadhūti Wozer Pel (a wa dhu ti &#39;od zer dpal), 7) Zhang Drukdra Gyaltsen (zhang &#39;brug sgra rgyal mtshan), 8) Sanggye Rechen (sangs rgyas ras chen), 9) Kunkhyen Sangha Bhadra (kun mkhyen sangha bhadra), 10) <a href=""/biographies/view/Jamyang-Choje-Tashi-Pelden/TBRC_P35"">Jamyang Choje Tashi Pelden</a> ( &#39;jam dbyangs chos rje bkra shis ldan 1379&ndash;1449), 11) Paṇḍita Chokyi Nyinje (chos kyi nyin byed), 12) <a href=""/biographies/view/Jonang-Jetsun-Kunga-Drolchok/TBRC_P2387"">Jonang Jetsun Kunga Drolchok</a> (rje btsun kun dga&#39; grol mchog 1507&ndash;1566), 13) and the Indian prince Gaje Sakyong (dga&#39; byed sa skyong).&nbsp;</p>"
121,,121,Drubgyud Tulku,Yelpa Kagyu,54,,,sgrub rgyud sprul sku,སྒྲུབ་རྒྱུད་སྤྲུལ་སྐུ།,,G2628,TOL158        ,"<p> The Drubgyud Tulku line is a Yelpa Kagyu incarnation based at <a href=""/geographies/view/Tana-monastery/TBRC_G2628"">Tana monastery</a> in Nangchen, Kham.</p>"
122,R8LS13250        ,122,Katok Getse        ,Nyingma,1,,,kaH thog dge rtse        ,ཀཿ་ཐོག་དགེ་རྩེ།,,,,"<p>
        The Katok Getse incarnations began with <a href=""/biographies/view/Getse-Mahāpaṇḍita/TBRC_P2943"">Getse Mahāpaṇḍita</a>, one of the most reknowned scholars of the eighteenth century, a prominent chaplain at Derge and the compiler of the Collected Nyingma Tantras. The Fourth Katok Getse passed away in 2018 in Nepal. The Getse incarnations are considered emanations of the bodhisattva Vajrapāṇi, with a preincarnation line that begins with the Indian mahāsiddha <a href=""/biographies/view/Kṛṣṇācārya/TBRC_P3299"">Kṛṣṇācārya</a>&nbsp;and includes&nbsp;<a href=""/biographies/view/Namkhai-Nyingpo/TBRC_P7743"">Namkhai Nyingpo</a>, <a href=""/biographies/view/Zur-Śākya-Senge/TBRC_P2099"">Zur Śākya Senge</a>, <a href=""/biographies/view/Lingje-Repa/TBRC_P910"">Lingje Repa</a>, <a href=""/biographies/view/Jampa-Bum/TBRC_P1492"">Jampa Bum</a>, <a href=""/biographies/view/Sakya-Paṇḍita/TBRC_P1056"">Sakya Paṇḍita</a>, <a href=""/biographies/view/Dolpopa-Sherab-Gyeltsen/TBRC_P139"">Dolpopa Sherab Gyeltsen</a>, <a href=""/biographies/view/Śākya-Chokden/TBRC_P396"">Śākya Chokden</a>, <a href=""/biographies/view/Tāranātha/TBRC_P1428"">Tāranātha</a>, and <a href=""/biographies/view/Rigdzin-Tsewang-Norbu/TBRC_P676"">Rigdzin Tsewang Norbu</a>.</p>
"
123,,123,Dudjom,Nyingma,1,,,bdud 'joms,བདུད་འཇོམས།,,G3992,TOL957,"<p>The Dudjom incarnation line is generally said to have begun with the seventeenth-century Katok lama <a href=""/biographies/view/Dudul-Dorje/TBRC_P651"">Dudul Dorje</a>, although <a href=""/biographies/view/Orgyen-Dudul-Rolpatsel/TBRC_P5226"">Orgyen Dudul Rolpatsel</a> is sometimes mentioned as the first of the line. Dudul Dorje&rsquo;s reincarnation, <a href=""/biographies/view/Dudjom-Lingpa/TBRC_P705"">Dudjom Lingpa</a>, was the progenitor of the Dudjom Tersar, of which his reincarnation, the great twentieth-century lama <a href=""/biographies/view/Dudjom-Rinpoche/TBRC_P736"">Dudjom Rinpoche</a>, was the main propagator.</p>"
124,R8LS13040,124,Kagyu Tulku,Barawa Kagyu,77,,,bka' brgyud sprul sku,བཀའ་བརྒྱུད་སྤྲུལ་སྐུ།,,G1KR1632,TOL1549,"<p>
        The Kagyu Tulkus are a Barawa Kagyu incarnation line based at <a href=""/geographies/view/Kagyu-Gonsar-Monastery/TBRC_G1KR1632"">Kagyu Gonsar Monastery</a> in the Chumbu valley, southern Tibet. The line originated when <a href=""/biographies/view/Tenzin-Nyida/TBRC_P8LS13000"">Tenzin Nyida</a> was identified as the reincarnation of the prominent seventeenth-century Barawa Kagyu lama <a href=""/biographies/view/Konchok-Gyeltsen/TBRC_P7118"">Konchok Gyeltsen</a>. The line is also known as the Drubtob Tulkus.</p>"
125,,125,Tana Lhatse,Yelpa Kagyu,54,,,rta rna lha rtse        ,རྟ་རྣ་ལྷ་རྩེ།,,G2628,TOL158        ,"<p>
        The Tana Lhatse incarnation line was based at <a href=""/geographies/view/Jang-Tana/TBRC_G2628"">Jang Tana</a>, a Yelpa Kagyu monastery in Nangchen.</p>"
126,,126,Dezhung,Sakya,7,,,sde gzhung        ,སྡེ་གཞུང་།,,G3268,TOL179,"<p>
        The Dezhung incarnation line, which appears to have begun with the <a href=""/biographies/view/Second-Dezhung/TBRC_P11MS232"">Second Dezhung, Lungrik Nyinma</a>, was based at <a href=""/geographies/view/Dezhung-Monastery/TBRC_G3268"">Dezhung Monastery</a> in Kham. The <a href=""/biographies/view/Third-Dezhung-Rinpoche,-Kunga-Tenpai-Nyima,/TBRC_P7679"">Third Dezhung Rinpoche, Kunga Tenpai Nyima,</a> taught at the University of Washington for many years, training some of North America&#39;s best scholars of Tibet. In some sources Lungrik Nyima is enumerated as the first, and Kunga Tenpai Nyima is the second.&nbsp;</p>"
